measurement_date,reservoir_id,reservoir_name,storage_pct,fetched_at
2026-08-30,LS_LHDA_KATSE,Katse,80.94,2026-09-01T192122Z
2026-08-30,LS_LHDA_MOHALE,Mohale,100.16,2026-09-01T192122Z
